submission_file_name,case_id,assessment_id,question_id,submission_id,question_number,question_text,total_marks,marking_guide,student_answer,human_mark,strategy_route,version_tag,requires_human_review,ai_mark,ai_justification,answer_point,answer_reason,working_point,working_reason,run in eval,match,image_url,q32_image_description,Marking guide image,q32_part_1_mark,q32_part_2_mark,q32_breakdown
124361,195312,4287,45151,17290,25,<p>Solve the equation below algebraically. 6 - 2/3(x + 5) = 4x</p>,2,"Answer and breakdown: 4/7 or 0.571428 or exact equivalent.

* Analyze the work and count how many distinct errors are made, including rounding, computational and transcription errors. For instance, if the scholar attempted to distribute the -2/3 and the resulting equation is 6 - 2/3 + 10/3 = 4x, this is the result of two distinct errors. The first is dropping the x with the -2/3 term. The second is changing the sign of the 10/3 and adding it instead of subtracting it.
* 2 marks if final answer is equivalent to 4/7 or 0.571428 or exact equivalent, and the algebraic working is logically correct.
* 1 mark if final answer is equivalent to 4/7 or 0.571428 or exact equivalent, but there is no working shown, or the method is correct with exactly one minor error in algebra, simplification or rounding.
* 0 marks if any other response.","6 - 2/3(x + 5) = 4x\nAnswer\nx=2,\n-2/3(x+5)=4x",0,A0,,,0,Student’s final answer x=2 is not equivalent to 4/7. Working shown is incomplete and does not reach correct solution.,0,Not equivalent (student=2 ref=4/7).,0,"Working starts from the correct equation but then asserts x=2 without any valid algebraic steps to isolate x. The subsequent line '-2/3(x+5)=4x' appears to drop the 6 from the left side (equivalent would be subtracting 6 from both sides, giving -2/3(x+5)=4x-6). Dropping a term is a major logic error breaking equivalence, so the method point is not earned.",TRUE,Match,,,,,,
124361,195321,4287,45152,17290,26,"<p>F = 4x² – 3x + 1 and G = –2x² + 5. Find the trinomial that represents H, if H = 3G – F.</p>",2,"Answer and breakdown: -10x² + 3x + 14 or equivalent

* Analyze the work and count how many distinct errors are made, including rounding, computational and transcription errors.
* 2 marks if final simplified expression is equivalent to -10x² + 3x + 14 or equivalent and work is correct.
* 1 mark if final expression is correct but there is no work, or the expression shows a correct method with exactly one minor sign, computation or simplification error.
* 0 marks if any other response.",H=3(-2x^2+5) - 4x^2 - 3x + 1,0,A0,,,1,Student sets up H = 3G − F correctly but does not simplify and shows a sign error for subtracting F.,0,Missing student or reference final answer value.,1,"Student correctly substitutes G into H=3G−F and applies the subtraction of F as −4x^2−(−3x)−1 should be written. Their working shows a minor sign slip on the linear and constant terms (they wrote −3x+1 instead of +3x−1), but the overall method is coherent and the final expression matches the correct result.",TRUE,,,,,,,
124361,195334,4287,45153,17290,27,<p>Algebraically determine the zeros of the function f(x) = x² – 4x + 3.</p>,2,"Answer and breakdown: x=1 and x=3

* Analyze the work and count how many distinct errors are made, including rounding, computational and transcription errors.
* 2 marks if both solutions 1 and 3 given correctly, with an algebraic method shown (for example factoring, quadratic formula or completing the square).
* 1 mark if both solutions 1 and 3 correct but either no working is shown, or there is one algebraic or computational error in an otherwise correct method, or the answers are obtained by a non algebraic method.
* 0 marks if any other response or incorrect due to two or more errors.",factors of 3\n-x- = positive\n1 . 3 = 3\n-3 . -1 = 3\nPlus -4\n-3 + -1 = -4,0,A0,,,0,Student shows factor reasoning but does not state the zeros x=1 and x=3; response is incomplete per guide.,,,,,TRUE,,,,,,,
124361,195344,4287,45154,17290,28,"<p>In February 2021, the state of Texas saw one of the worst snowstorms in its history. Snowfall totals recorded in Dallas, TX are shown in the table below.</p><p>| Dallas, TX |<br>|---|---|<br>| Time | Snow (inches) |<br>| 1 a.m. | 1 |<br>| 3 a.m. | 5 |<br>| 6 a.m. | 11 |<br>| 12 noon | 33 |<br>| 3 p.m. | 36 |</p><p>Which of the following intervals had the greatest rate of snowfall, in inches per hour? 1 a.m. to 12 noon or 6 a.m. to 3 p.m. Justify your answer.</p>",2,"Answer and breakdown: 1 a.m. to 12 noon

* 2 marks if states the interval 1 a.m. to 12 noon and justifies it by correctly comparing snowfall rates on the relevant intervals.
* 1 mark if correct interval or mostly correct reasoning, but with exactly one error in calculation or interpretation.
* 0 marks if any other response.","A\n1 am to 12 noon\nTime: 1 am -> 12 noon\n... [table content] ...\nA had the greates rate of snow fall (1 am to 12 noon), The reason why is because the rate wasnt constant but it kept increasing its way up, it went from 1 to 5 that 5 (5) diffrence then it went from 5 to 11 thats 9 (6) diffrence then it went from 11 to 33 thats 9 (22) diffrence.",0,A0,,,2,"Student correctly chose 1 a.m. to 12 noon and justified by comparing snowfall increases over time, showing larger increases in that interval.",,,,,TRUE,,,,,,,
124361,195357,4287,45155,17290,29,"<p>The gravitational force between two objects can be calculated using the formula Fg = (GM₁M₂)/r². In the formula, G is called the gravitational constant. The variables M₁ and M₂ represent the masses of the two objects between which the force is being measured. Lastly, r is the distance between the objects. Solve for the positive value of r, in terms of the other variables.</p>",2,"Answer and breakdown: r = √((GM₁M₂)/Fg)

* Analyze the work and count how many distinct errors are made, including rounding, computational and transcription errors.
* 2 marks if final expression equivalent to r = √((GM₁M₂)/Fg) with correct rearrangement steps. r cannot be written in uppercase.
* 1 mark if expression is almost correct but has exactly one algebraic error, such as a missing factor, incorrect operation or including ± instead of the positive root only, or solving for a value other than r (Ex. r² = (GM₁M₂)/Fg).
* 0 marks if any other response, or due to two or more errors.","fgs gM, M2\nr2\nM, and M2 = 2 masses",0,A0,,,0,Student did not provide an algebraic rearrangement for r; response only restates variables and fragments of the formula.,,,,,TRUE,,,,,,,
124361,195371,4287,45156,17290,30,<p>Four Seasons Landscaping is creating a rectangular flower bed at a customer’s home. The width of the flower bed will be half of the length. The total area of the flower bed is 38 square feet. Write and solve an equation to determine the width of the flower bed to the nearest tenth of a foot.</p>,2,"Answer and breakdown: Equation 2w² = 38 or equivalent and width ≈ 4.4 feet

* 2 marks if gives a correct quadratic equation relating width to area (equivalent to 2w² = 38) and solves correctly for width, giving width ≈ 4.4 feet (to the nearest tenth), with working shown.
* 1 mark if correct equation but the width is missing or contains one computation error, or the width ≈ 4.4 feet is found by a valid method but the equation is missing or not clearly stated, or the equation and width are correct but there is no working. Correctly solving for the length of the flower bed (8.7 feet). Missing equation.
* 0 marks if any other response",A=WXL\nTotal area is 38 square feet\nAnswer 12.5\n[Diagram]\nW=half of the length\nfactors of 38\n38.1\n19.2,0,A0,,,0,"No correct quadratic equation or correct width. Student gives unrelated numbers (12.5, 38.1, 19.2) and no valid solution.",,,,,TRUE,,,,,,,
124361,195387,4287,45157,17290,31,"<p>A couple planning a backyard wedding is researching different tent rental companies for their event. They contact two different companies. Buffalo Party Rental charges a $50 set-up fee, and $5 per square foot of tent space. Tent Genie charges a $25 set-up fee, and $6 per square foot of tent space.</p><p>Write an equation for Buffalo Party Rental that could be used to determine the total cost B, when x square feet of tent space is ordered. Write a second equation for Tent Genie that could be used to determine the total cost T, when x square feet of tent space is ordered.</p><p>Determine algebraically and state the minimum square feet, rounded to the nearest square foot, of tent space that must be ordered for Buffalo Party Rental to be the cheaper option.</p>",4,"<p>Part 1 Answer and breakdown: B = 5x + 50 and T = 6x + 25;</p><ul class=""tight"" data-tight=""true""><li><p>2 marks if both cost equations correct.</p></li><li><p>1 mark if exactly one of the two equations correct.</p></li><li><p>0 marks if neither equation correct.</p></li></ul>

<p>Part 2 Answer and breakdown: 26 square feet or equivalent</p><ul class=""tight"" data-tight=""true""><li><p>2 marks if correct numerical answer 26 with correct algebraic working using the cost equations or an equivalent algebraic method.</p></li><li><p>1 mark if answer 26 correct but no algebraic working shown, or the algebraic method is essentially correct with one computational or interpretation error.</p></li><li><p>0 marks if any other response.</p></li></ul>",BP\nAnswer: \n$50 + 5x = B\nAnswer: T9\n25$ + $6x = T\nBP T9\n50 + 5 . 10 = 100\n25 + 6 . 10 = 85\n55 x\n31 x\nwould need to be : 6.5,2,A0,,,3,"Both cost equations are correct. Part 2 final answer is not 26; student gives 6.5 and shows incorrect comparison, so no marks for Part 2.",,,,,TRUE,,,,,,,
124361,195400,4287,45158,17290,32,<p>Graph the two functions on the coordinate plane below.</p><p>f(x) = 2x² – 8x + 3<br>g(x) = –2x + 3</p><p>Find all values of x for which f(x) = g(x).</p>,4,"Part 1 Answer and breakdown: [Graph showing parabola and line intersecting at (0,3) and (3,-3)];

* 2 marks if all of the following criteria are met: Both the linear and parabola graphs are plotted correctly. The parabola has vertex at (2, −5) and at least two other correct points. The line and parabola intersect at (0, 3) and (3, −3). Both the line and parabola extend to the edge of the graph or have arrows. 1 point should be deducted for each missing or incorrect criteria mentioned above.
* 1 mark if exactly one graphing error, for example one function plotted correctly and the other with a minor error, or a minor inaccuracy in one of the criteria points.
* 0 marks if two or more graphing errors, or graphs do not represent the intended functions.

<p>Part 2 Answer and Break down: x=0 and x=3</p><ul class=""tight"" data-tight=""true""><li><p>2 marks if states both x values 0 and 3, supported by algebraic work or by reference to the correct graph.</p></li><li><p>1 mark if correctly identifies 0 and 3 but with no working, or uses a reasonable method with one computational error, or states the solutions as coordinate pairs (0, 3) and (3, −3).</p></li><li><p>0 marks if any other response</p></li></ul>","[Graph plotted on grid]\n(0,3)\n(3,-3) [circled on graph]",0,A2,,,0,"[{""mark_point"":""Part 1: Graphs plotted correctly (Line and Parabola)"",""awarded"":false,""evidence_from_image"":""The linear function is plotted correctly, but the parabola is incorrect (vertex is drawn at approx (2,0) instead of (2,-5)).""},{""mark_point"":""Part 1: Intersections at (0,3) and (3,-3)"",""awarded"":false,""evidence_from_image"":""Only the intersection at (0,3) is shown; the second intersection at (3,-3) is missing because the parabola is plotted incorrectly.""},{""mark_point"":""Part 2: States both x values 0 and 3"",""awarded"":false,""evidence_from_image"":""The student circled (0,3) on the graph but did not state 'x=0 and x=3' in the answer space, and the second solution is missing.""}]",,,,,,,https://supabase.marking.ai/storage/v1/object/public/submission_pages/6c3c693c-7dd2-43f8-8003-6e6e3e0f88f8/124361/page-10.png,,https://supabase.marking.ai/storage/v1/object/public/submission_pages/5cc7b637-ac12-4559-bdc5-aeeff5feb111/Marking_image/page-1.png,0,0,"Part 1: The student scores 0 marks because there are two significant errors: the parabola vertex is at (2,0) instead of (2,-5), and consequently, the second intersection at (3,-3) is missing. 
Part 2: The student scores 0 marks. The written answer is illegible (looks like '1 3'), and the graph does not support finding the solution at x=3 (no intersection shown there). Even if '3' is written, '0' is missing from the text, and no algebraic work is present to justify the answer given the incorrect graph."
124361,195415,4287,45159,17290,33,"<p>The table below shows the number of hours ten different scholars at Marion P. Thomas Middle School spent studying and their scores on a recent history test.</p><table style=""min-width: 275px;""><colgroup><col><col><col><col><col><col><col><col><col><col><col></colgroup><tbody><tr><th colspan=""1"" rowspan=""1""><p>Hours Spent Studying (x)</p></th><th colspan=""1"" rowspan=""1""><p>0</p></th><th colspan=""1"" rowspan=""1""><p>1</p></th><th colspan=""1"" rowspan=""1""><p>2</p></th><th colspan=""1"" rowspan=""1""><p>4</p></th><th colspan=""1"" rowspan=""1""><p>4</p></th><th colspan=""1"" rowspan=""1""><p>4</p></th><th colspan=""1"" rowspan=""1""><p>6</p></th><th colspan=""1"" rowspan=""1""><p>6</p></th><th colspan=""1"" rowspan=""1""><p>7</p></th><th colspan=""1"" rowspan=""1""><p>8</p></th></tr><tr><td colspan=""1"" rowspan=""1""><p>Test Scores (y)</p></td><td colspan=""1"" rowspan=""1""><p>35</p></td><td colspan=""1"" rowspan=""1""><p>40</p></td><td colspan=""1"" rowspan=""1""><p>46</p></td><td colspan=""1"" rowspan=""1""><p>65</p></td><td colspan=""1"" rowspan=""1""><p>67</p></td><td colspan=""1"" rowspan=""1""><p>70</p></td><td colspan=""1"" rowspan=""1""><p>82</p></td><td colspan=""1"" rowspan=""1""><p>88</p></td><td colspan=""1"" rowspan=""1""><p>82</p></td><td colspan=""1"" rowspan=""1""><p>95</p></td></tr></tbody></table><p>Write the linear regression for this data set. Round all values to the nearest hundredth.</p><p>State the correlation coefficient rounded to the nearest hundredth.</p><p>Explain what the correlation coefficient suggests in the context of the problem.</p>",4,"Part 1 Answer and breakdown: y = 7.79x + 34.27.

* 2 marks if equation written as y = mx + b with m ≈ 7.79 and b ≈ 34.27 (rounded to the nearest hundredth).
* 1 mark if equation structurally correct but with one rounding or transcription error, or a correct expression for the line is given but y = is omitted.
* 0 marks if any other response.

<p>Part 2 Answer and breakdown: r ≈ 0.98.</p><ul class=""tight"" data-tight=""true""><li><p>1 mark if states correlation coefficient ≈ 0.98 (nearest hundredth).</p></li><li><p>0 marks if any other value or missing.</p></li></ul>

<p>Note: If a scholar does not give any correlation coefficient, they cannot receive any credit for the explanation because it is impossible to tell if they are interpreting a value correctly when that value is missing.<br>Part 3 Answer and breakdown: Strong positive association between hours studied and test score.</p><ul class=""tight"" data-tight=""true""><li><p>1 mark if explanation refers to both variables (study time and scores) and correctly interprets r as a strong positive relationship (for example more hours studied leads to higher scores).</p></li><li><p>0 marks if explanation does not reference both variables, does not match the sign or strength of r, or is missing.</p></li></ul>","Answer:\n8x+34\na=1.792207782\nb=34.27272727\nr^2 = .9634878259\nr=.9815741571\nwill be 1.0 rounded to the nearest hundredth\nThe correlation coefficient is the R, what it suggest in this problem is parse the hours spent on studying",1,A0,,,0,"Cannot comply: developer schema forbids required keys (requires_human_review, mark_breakdown) mandated by user; conflict requires human review.",,,,,TRUE,,,,,,,
124361,195429,4287,45160,17290,34,<p>A system of inequalities is graphed on the coordinate plane below.</p><p>Write the system of inequalities that is represented by the graph above.</p><p>What does region A represent?</p><p>What does the gray region represent?</p>,4,"Part 1 Answer and breakdown: y < -3x + 3 and y ≤ 2x – 2 or equivalent

* 2 Marks: Both inequalities correct, including inequality symbols and whether boundaries are strict or inclusive.
* 1 Mark: Exactly one inequality correct.
* 0 Marks: Neither inequality correct.

<p>Part 2 Answer and breakdown: Region A is the solution set common to both inequalities.</p><ul class=""tight"" data-tight=""true""><li><p>1 Mark: Scholar shows understanding of the concept in the context of the question. Correct example ""Region A represents the solution set to the system of inequalities"". Incorrect example, ""Region A represents the solution"" or ""The A region represents when both graphs connect"".</p></li><li><p>0 marks Any other description or missing. Do not give credit for any responses that contain inaccurate mathematically inaccurate language.</p></li></ul>

<p>Part 3 Answer and breakdown: The grey region is the solution set of y ≤ 2x - 2</p><ul class=""tight"" data-tight=""true""><li><p>1 mark if scholar shows understanding of the concept in the context of the question. Scholar correctly identifies the grey region as representing all solutions of y ≤ 2x - 2. Correct example, ""The gray region represents the solution to y is less than or equal to 2x-2."". Incorrect example, ""The gray region represents the solutions of one side of inequalities.""</p></li><li><p>0 marks Any other description or missing. Do not give credit for any responses that contain inaccurate mathematically inaccurate language.</p></li></ul>","-3x+5\n-8x+3\n-3x+5\nA represents the y intercept of both inequalities,\nThe gray shaded in represents 1 inequalities",0,A0,,,0,No correct inequalities given. Region A and gray region descriptions are incorrect and do not identify solution sets as required.,,,,,TRUE,,,,,,,
